All,SourceCountry,SourceCity,SourceAirport,DestCountry,DestCity,DestAirport,AirlineName,Sum of Flights
All Countries,China,Others,Others,China,Others,Wenzhou Longwan International Airport,Air China,7
All Countries,China,Others,Others,China,Others,Wenzhou Longwan International Airport,Shenzhen Airlines,4
All Countries,China,Others,Others,China,Others,Wenzhou Longwan International Airport,China Southern Airlines,4
All Countries,China,Others,Others,China,Others,Wenzhou Longwan International Airport,China Eastern Airlines,3
All Countries,China,Others,Others,China,Others,Wenzhou Longwan International Airport,Hainan Airlines,2
All Countries,China,Others,Others,China,Others,Yinchuan Airport,China Southern Airlines,8
All Countries,China,Others,Others,China,Others,Yinchuan Airport,Air China,6
All Countries,China,Others,Others,China,Others,Yinchuan Airport,China Eastern Airlines,3
All Countries,China,Others,Others,China,Others,Yinchuan Airport,Shenzhen Airlines,2
All Countries,China,Others,Others,China,Others,Sunan Shuofang International Airport,Shenzhen Airlines,8
All Countries,China,Others,Others,China,Others,Sunan Shuofang International Airport,Air China,7
All Countries,China,Others,Others,China,Others,Sunan Shuofang International Airport,China Eastern Airlines,4
All Countries,China,Others,Others,China,Others,Shijiazhuang Daguocun International Airport,China Southern Airlines,7
All Countries,China,Others,Others,China,Others,Shijiazhuang Daguocun International Airport,China Eastern Airlines,7
All Countries,China,Others,Others,China,Others,Shijiazhuang Daguocun International Airport,Air China,4
All Countries,China,Others,Others,China,Others,Xining Caojiabu Airport,China Southern Airlines,5
All Countries,China,Others,Others,China,Others,Xining Caojiabu Airport,China Eastern Airlines,4
All Countries,China,Others,Others,China,Others,Xining Caojiabu Airport,Air China,3
All Countries,China,Others,Others,China,Others,Xining Caojiabu Airport,Shenzhen Airlines,2
All Countries,China,Others,Others,China,Others,Xining Caojiabu Airport,Hainan Airlines,1
All Countries,China,Others,Others,China,Others,Yantai Laishan Airport,Air China,6
All Countries,China,Others,Others,China,Others,Yantai Laishan Airport,Shenzhen Airlines,4
All Countries,China,Others,Others,China,Others,Yantai Laishan Airport,China Southern Airlines,3
All Countries,China,Others,Others,China,Others,Yantai Laishan Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Changzhou Benniu Airport,China Eastern Airlines,5
All Countries,China,Others,Others,China,Others,Changzhou Benniu Airport,China Southern Airlines,4
All Countries,China,Others,Others,China,Others,Changzhou Benniu Airport,Shenzhen Airlines,2
All Countries,China,Others,Others,China,Others,Changzhou Benniu Airport,Air China,2
All Countries,China,Others,Others,China,Others,Yuncheng Guangong Airport,Air China,4
All Countries,China,Others,Others,China,Others,Yuncheng Guangong Airport,China Southern Airlines,4
All Countries,China,Others,Others,China,Others,Yuncheng Guangong Airport,China Eastern Airlines,3
All Countries,China,Others,Others,China,Others,Yuncheng Guangong Airport,Shenzhen Airlines,2
All Countries,China,Others,Others,China,Others,Baotou Airport,China Southern Airlines,6
All Countries,China,Others,Others,China,Others,Baotou Airport,Air China,2
All Countries,China,Others,Others,China,Others,Baotou Airport,China Eastern Airlines,2
All Countries,China,Others,Others,China,Others,Yangzhou Taizhou Airport,China Southern Airlines,5
